	User	Location	Tweet	Date/Time of Tweet
37	Messy_Kenneth		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:24
38	Alyelena_x3	Long Live Ashlee & Migue👼🏽	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:24
39	welca	California, USA	RT @SpryGuy: I want progress. I want hope. I want universal health care. I want debt-free higher ed. I want a clean &amp; safe environment. I w…	2020-03-02 03:45:23
40	JoshRob13		"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:45:21
41	DanielPStorm	Tucson, AZ	"RT @NahBabyNah: Do you think they even realize the HYPOCRISY??

@BernieSanders gets on wrong private jet

‘Warriors against climate change’…"	2020-03-02 03:45:18
42	Decentarian		"RT @natesparks130: Let's not forget ""Pray on it"" was exactly how Pence responded, after his own ineptitude led to an HIV outbreak in IN. (h…"	2020-03-02 03:45:16
43	taraparker611		RT @jdmaccoby: We’ve all wondered whether the world would end because of climate change or a global pandemic or a terrifyingly inept govern…	2020-03-02 03:45:16
44	InteractionsInc	USA	"RT @svickram: Finally - my first podcast - on pollution / climate change and how investments/innovation can solve this

big thanks to @bapn…"	2020-03-02 03:45:14
45	mohamma23705030	Wales, United Kingdom	Climate change: Bangkok, Amsterdam and Melbourne 'face greatest global warming risk' | Climate News | Sky News https://t.co/DccbhKF51E	2020-03-02 03:45:12
46	cjoshuav	Atlanta, GA	RT @PeteButtigieg: .@TomSteyer, thank you for your passion and your advocacy. This election has been made better by your voice on climate c…	2020-03-02 03:45:10
47	dkeenanj	Brisbane, Queensland	RT @H2Ogovernance: Heathrow third runway ruled illegal over climate change https://t.co/xE7WG49CZz	2020-03-02 03:45:10
48	Andrea51544005	Ohio, USA	"RT @FinGregg: Climate change is a clear threat to the stability of the financial system. 

@ewarren has a plan for that.

The policies offe…"	2020-03-02 03:45:10
49	SparkplugPower	Somerville, MA	RT @ricfulop: My bet is that @elonmusk battery day talk will be about the impact Jeff Dahn  long life chemistry will have in enabling V2G.…	2020-03-02 03:45:04
50	yungjollyboy	disillusionment	@TinyxPants He seems not that bad in his old age honestly. He’s a big climate change guy now	2020-03-02 03:45:03
51	Wymelenberg	Oregon, USA	#Masstimber ⁦@TallWoodDesign⁩ #CLT #MPP ⁦@smartlamllc⁩ - How The World Of Building Materials Is Responding To Clima… https://t.co/893U1UoGnN	2020-03-02 03:45:02
52	amanda_yackley	chum bucket	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:00
53	dyquin__		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:59
54	koinau		@GuardianAus Can you tell them climate change will affect their coffee supply? Might get some action on it then.	2020-03-02 03:44:58
55	donovanlenee	R.I.P Dre Mandi Jasmine PB	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:58
56	Wizard8891	Bridgewater, MA	"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:44:57
57	dirtybeardad	California, USA	RT @JoeBiden: From climate change to racial justice — @TomSteyer has dedicated his life to making progress on some of the most pressing iss…	2020-03-02 03:44:55
58	Antoniu02510884		@prageru Although a conservative, I have to disagree. Climate change denial is unscientific. Don't let the Left con… https://t.co/ZhBXcbcYbV	2020-03-02 03:44:54
59	flacita56789	NY	"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:44:54
60	LeeAnn_Writes	Buffalo, NY	"RT @FinGregg: Climate change is a clear threat to the stability of the financial system. 

@ewarren has a plan for that.

The policies offe…"	2020-03-02 03:44:53
61	Steff52Sw	South Florida 	"RT @FinGregg: Climate change is a clear threat to the stability of the financial system. 

@ewarren has a plan for that.

The policies offe…"	2020-03-02 03:44:53
62	JayceBraynen	Bahamas	"RT @Meck0: The Bahamas on 60 mins. 

Some good tidbits here:

-Solar grids on Ragged Island and Abaco.

-30 percent solar by 2030.

-Insura…"	2020-03-02 03:44:53
63	boundryrunner	New Zealand	"Right! This is the bloody end of my politeness about climate change!
My whole way of life is being overturned 🤬 https://t.co/vXrKkyWaUx"	2020-03-02 03:44:52
64	Reashelby1		RT @RgYoung00: Global warming, I mean Climate Change, back in 1911... https://t.co/e3WyFxw3Qt	2020-03-02 03:44:44
65	scrlet		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:41
66	19Dolphin39	USA & Canada	"RT @DogginTrump: I'd like to add to my list

Pete Buttigieg For Secretary of Defense

Tom Steyer: Council on Climate Change Director

All i…"	2020-03-02 03:44:41
67	StevenVanegas1	Houston, TX	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:39
68	McCrostie4Idaho	Garden City/W & NW Boise	#ThankYouPete for a historic presidential run. I never thought I'd see myself in my US presidential candidate. Your… https://t.co/C4WiJe6yh3	2020-03-02 03:44:39
69	MegaphoneTexas	Texas, USA	RT @BrenhamSean: Democrats appreciate @TomSteyer’s commitment to fighting climate change and saving the environment. we just want someone e…	2020-03-02 03:44:38
70	CorySWolfe	United States	"RT @IssyMartinez: Found on the internet. Good read! 

To all the school kids going on 'strike' for Climate Change:

You are the first gener…"	2020-03-02 03:44:36
71	MaThenjM	Centurion, South Africa	"RT @Peterman43: Climate change: summers 'twice as long as winters'
https://t.co/OJGuHoVZXR"	2020-03-02 03:44:36
72	Geniedepalaiso	Paris	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:32
73	idealust	Tucson, AZ	RT @Guay_JG: @ewarren (3/n) Dodd-Frank tools can be expansive. If Warren designates institutions as “systemically important” (SIFI) they’re…	2020-03-02 03:44:31
74	ssflvldy	United States	"RT @SenJackyRosen: We need to address climate change head-on. 

As a member of the bipartisan Senate Climate Solutions Caucus, I’m going to…"	2020-03-02 03:44:29
75	RobertM32446045	Southern New Jersey	"RT @RealCandaceO: Weeks ago, we were all going to die from World War 3 because Trump killed Soleimani. 

—which was scheduled to take place…"	2020-03-02 03:44:28
76	KenitaDot		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:28
77	Liveworldstream		"RT @FinGregg: Climate change is a clear threat to the stability of the financial system. 

@ewarren has a plan for that.

The policies offe…"	2020-03-02 03:44:24
78	HKimberly1	Brownsville, TX	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:23
79	jckrhn		RT @grumpybirdieS: The same people who say Bernie can’t get anything done or what we need now are “results” not revolution , are the same p…	2020-03-02 03:44:20
80	SierraSteele88	Beautiful BC	RT @JWSpry: TEAM GRETA Admits Climate Change Has Nothing To Do With The Environment https://t.co/ZJPw7oF8Ll via @JWSpry	2020-03-02 03:44:19
81	pmarrii	Meanjin	@OverlandJournal Solving climate change without dismantling these systems might make colonisers feel safer, but for… https://t.co/yHNixyKAuk	2020-03-02 03:44:18
82	matthiggins07		RT @AndyOz2: Australia just had one of our coldest February’s on record and Peter Hannam writes this. He either lives in a parallel univers…	2020-03-02 03:44:18
83	msgsfromher	Rockville, MD	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:17
84	JJD_Aqua		"@aradwanski @djcyr1 So, by the same logic:

Justin Trudeau along makes up 1/8 billionth of the population, and yet… https://t.co/lWveZEbyzV"	2020-03-02 03:44:15
85	quoyaaah	RVA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:14
86	lubnaswan		RT @business: Naomi Seibt, a 19-year-old self-styled “climate realist” from Germany passionately addressed climate change before a crowd of…	2020-03-02 03:44:12
87	remark_eco	United States	".@Target Your ""reusable"" plastic bags end up in the landfill and contribute to climate change. Please stop using si… https://t.co/kAQMMyy9jv"	2020-03-02 03:44:12
88	dreaxsanchez		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:12
89	awri125		@NastyRezurekD @ElizabethEThorp @SenSanders wow you really know how to kid yourself.  none of that existed when gor… https://t.co/ptcYZZarsY	2020-03-02 03:44:07
90	aconvict		RT @TheAusInstitute: Another way ordinary Australian households and businesses will pay the costs of externalites of the coal and gas indus…	2020-03-02 03:44:04
91	sad_mija69	Ciudad de Guatemala 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:44:00
92	rajcalling44	Berhampur, india	RT @BillGates: People all over the world are already being affected by a warmer world. What should the plan to address climate change look…	2020-03-02 03:43:59
93	PopigaiCrater	🇨🇦	@Lord_Keynes2 While this is true, it doesn't necessarily falsify anthropogenic climate change, nor does it negate t… https://t.co/c6oBvE43wr	2020-03-02 03:43:56
94	CorneliusFelix5		RT @grumpybirdieS: The same people who say Bernie can’t get anything done or what we need now are “results” not revolution , are the same p…	2020-03-02 03:43:51
95	DanaFracalossi	Buenos Aires, Argentina	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:50
96	yesterdscars	Baby Elf-l	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:45
97	yhjones	North Carolina	"RT @TheTNHoller: NEW: “federal judge rules Ken Cuccinelli acting dir of Citizenship &amp; Immigration was unlawfully appointed”

Ken fights mar…"	2020-03-02 03:43:42
98	hannaharomin	ʜᴏᴜsᴛᴏɴ - ʟᴏs ᴀɴɢᴇʟᴇs	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:40
99	OfficialJour	Chicago, IL	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:40
100	Arlenee21	Indianapolis, IN	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:37
101	pjem476		"RT @BernieSanders: Our message to young people:

If you can't afford to go to college or are deeply in debt, join us.

If you're worried ab…"	2020-03-02 03:43:35
102	Kurenai240	Baltimore, MD	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:29
103	JMTucker8		RT @PeteButtigieg: .@TomSteyer, thank you for your passion and your advocacy. This election has been made better by your voice on climate c…	2020-03-02 03:43:29
104	jb31842	Michigan	RT @CTRexPope: @mattyglesias Climate change would be easy to solve if humans were a lot more educated and a lot more rational: https://t.co…	2020-03-02 03:43:29
105	yafavdumbasss		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:28
106	Drsarika005	Gurgaon, India	RT @BhavreenMK: This reflects the combined impacts of rapid demographic, environmental, social, technological and other changes in our ways…	2020-03-02 03:43:28
107	ChooOfficial	Houston, TX	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:28
108	JClikeJesus		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:26
109	RohnStarling	Vegas 	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:25
110	jmaxsz	thoriummoltensaltreactorscanberra	"The polluters are not responsible for climate change
The SUN is But please keep attacking Polluters as they
Are dam… https://t.co/93kSvM1l92"	2020-03-02 03:43:24
111	jareswan	Oakland, CA	RT @RhonnieF: They say our race is one to watch! I'm fighting for bold issues like criminal justice reform and tackling climate change. It'…	2020-03-02 03:43:23
112	catgismo		@macmary18 @davidberger @jmartNYT 7. Global Warming: Sanders was the lead sponsor of a bill to tax carbon and metha… https://t.co/6sm4OhAdqM	2020-03-02 03:43:23
113	lee59269633	Calgary, Alberta	RT @JWSpry: TEAM GRETA Admits Climate Change Has Nothing To Do With The Environment https://t.co/ZJPw7oF8Ll via @JWSpry	2020-03-02 03:43:21
114	BrazenDarrow		@digital_bread @shalou1998 @Iamjusthere4be1 @Eviljohnny @AJWalton11 @ewarren Climate change is real, I’ll grant you… https://t.co/6spmd2sOGG	2020-03-02 03:43:20
115	Mabelais63	California, USA.              	RT @SayingHello2U: @JRogers93 @Mabelais63 Why is it toxic to day you're being short-sighted? Isn't it vital to change the economic system t…	2020-03-02 03:43:20
116	catpostercoklat	already taken ⚠️	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:19
117	sixtusFive		RT @BillGates: People all over the world are already being affected by a warmer world. What should the plan to address climate change look…	2020-03-02 03:43:19
118	torideherrera		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:19
119	kate_littleton	San Antonio, TX	"RT @TheTNHoller: NEW: “federal judge rules Ken Cuccinelli acting dir of Citizenship &amp; Immigration was unlawfully appointed”

Ken fights mar…"	2020-03-02 03:43:17
120	AyyeeeitsCaiah		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:16
121	foreverxmika	Texas, USA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:16
122	climatechanges9	EU	👉🏻 Collaborate 👉🏻 https://t.co/dUCrmi3xqM⚡🌧️⛅☀️  RT @IAM__Network: Australian summers lasting longer… https://t.co/dOhavt5Yrx	2020-03-02 03:43:16
123	nazani14	Ice Station Zebra, AK	RT @ewarren: Climate change is an existential threat—but Wall Street is refusing to listen, let alone take real action. I've got a new plan…	2020-03-02 03:43:15
124	ssbookshops	Delhi, India	RT @MahindraRise: Farmers are now facing more challenges than ever, as a result of climate change. Ravindra Shahane, Head of Global Product…	2020-03-02 03:43:15
125	bebepotato		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:14
126	CLIME_IT	Worldwide	Tackling #ClimateChange Is a Profitable Opportunity, Rather Than an Expensive Problem https://t.co/sSIxtcv6kE https://t.co/Dh2XgsTbig	2020-03-02 03:43:13
127	RandyResist		"RT @ourdailyplanet: Pete Buttigieg was the first of the candidates to grant us an interview at his campaign kickoff in South Bend.

He’s ne…"	2020-03-02 03:43:12
128	tallpieceofshit	East Atlanta	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:11
129	TheKycal	NYC ✈️ Tokyo	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:11
130	_JLoveeeee		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:43:09
131	GSSHaltonPeel	Halton & Peel	RT @BloomingBlvds: UN's Decade on Ecosystem Restoration's goal is restoring 865M acres of degraded land. It’s hoped that the restorations w…	2020-03-02 03:43:06
132	SEVENKlTTENS	North Carolina, USA	RT @grumpybirdieS: The same people who say Bernie can’t get anything done or what we need now are “results” not revolution , are the same p…	2020-03-02 03:43:06
133	nrmatq	Osaka-fu, Japan	Watched The Two Popes this morning, it was warm. And then I researched about the current Pope, which is Pope Franci… https://t.co/2eZjnp5CYL	2020-03-02 03:43:05
